Date,Open,High,Low,Close
1971-01-01,37.88,37.88,37.88,37.88
1971-02-01,38.74,38.74,38.74,38.74
1971-03-01,38.87,38.87,38.87,38.87
1971-04-01,39.01,39.01,39.01,39.01
1971-05-01,40.52,40.52,40.52,40.52
1971-06-01,40.1,40.1,40.1,40.1
1971-07-01,40.95,40.95,40.95,40.95
1971-08-01,42.71,42.71,42.71,42.71
1971-09-01,42.03,42.03,42.03,42.03
1971-10-01,42.5,42.5,42.5,42.5
1971-11-01,42.86,42.86,42.86,42.86
1971-12-01,43.48,43.48,43.48,43.48
1972-01-01,45.75,45.75,45.75,45.75
1972-02-01,48.26,48.26,48.26,48.26
1972-03-01,48.33,48.33,48.33,48.33
1972-04-01,49.03,49.03,49.03,49.03
1972-05-01,54.62,54.62,54.62,54.62
1972-06-01,62.09,62.09,62.09,62.09
1972-07-01,65.66,65.66,65.66,65.66
1972-08-01,67.03,67.03,67.03,67.03
1972-09-01,65.46,65.46,65.46,65.46
1972-10-01,64.86,64.86,64.86,64.86
1972-11-01,62.91,62.91,62.91,62.91
1972-12-01,63.91,63.91,63.91,63.91
1973-01-01,65.14,65.14,65.14,65.14
1973-02-01,74.2,74.2,74.2,74.2
1973-03-01,84.37,84.37,84.37,84.37
1973-04-01,90.5,90.5,90.5,90.5
1973-05-01,101.96,101.96,101.96,101.96
1973-06-01,120.12,120.12,120.12,120.12
1973-07-01,120.17,120.17,120.17,120.17
1973-08-01,106.76,106.76,106.76,106.76
1973-09-01,102.97,102.97,102.97,102.97
1973-10-01,100.08,100.08,100.08,100.08
1973-11-01,94.92,94.92,94.92,94.92
1973-12-01,106.72,106.72,106.72,106.72
1974-01-01,129.19,129.19,129.19,129.19
1974-02-01,150.13,150.13,150.13,150.13
1974-03-01,168.42,168.42,168.42,168.42
1974-04-01,172.24,172.24,172.24,172.24
1974-05-01,163.27,163.27,163.27,163.27
1974-06-01,154.1,154.1,154.1,154.1
1974-07-01,142.98,142.98,142.98,142.98
1974-08-01,154.64,154.64,154.64,154.64
1974-09-01,151.75,151.75,151.75,151.75
1974-10-01,158.78,158.78,158.78,158.78
1974-11-01,181.66,181.66,181.66,181.66
1974-12-01,183.78,183.78,183.78,183.78
1975-01-01,176.27,176.27,176.27,176.27
1975-02-01,179.6,179.6,179.6,179.6
1975-03-01,178.16,178.16,178.16,178.16
1975-04-01,169.84,169.84,169.84,169.84
1975-05-01,167.39,167.39,167.39,167.39
